Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
14-02-2018,163.045,167.54,162.88,167.37,39669178,0,1,163.045,167.54,162.88,167.37,39669178
13-02-2018,161.95,164.75,161.65,164.34,32104756,0,1,161.95,164.75,161.65,164.34,32104756
12-02-2018,158.5,163.89,157.51,162.71,60560145,0,1,158.5,163.89,157.51,162.71,60560145
09-02-2018,157.07,157.89,150.24,155.97,66723743,0,1,157.07,157.89,150.24,155.97,66723743
08-02-2018,160.29,161,155.03,155.32,49594129,0,1,160.29,161,155.03,155.32,49594129
07-02-2018,163.085,163.4,159.0685,159.54,50852130,0,1,163.085,163.4,159.0685,159.54,50852130
06-02-2018,154.83,163.72,154,163.03,66625484,0,1,154.83,163.72,154,163.03,66625484
05-02-2018,159.1,163.88,156,157.49,66090446,0,1,159.1,163.88,156,157.49,66090446
02-02-2018,166,166.8,160.1,160.37,85436075,0,1,166,166.8,160.1,160.37,85436075
01-02-2018,167.165,168.62,166.76,167.78,38099665,0,1,167.165,168.62,166.76,167.78,38099665
